File_Name,Molecule_Name,Cell_Length_A,Cell_Length_B,Cell_Length_C,Cell_Angle_Alpha,Cell_Angle_Beta,Cell_Angle_Gamma,Label,Fractional_X,Fractional_Y,Fractional_Z
C  H  O,19.59408,27.36014,46.41261,90,90,90,C1,0.622841,0.801932,0.126761
C  H  O,19.59408,27.36014,46.41261,90,90,90,C2,0.151198,0.968349,0.337049
C  H  O,19.59408,27.36014,46.41261,90,90,90,C3,0.127436,0.985217,0.310353
C  H  O,19.59408,27.36014,46.41261,90,90,90,C4,0.109155,0.950868,0.288269
C  H  O,19.59408,27.36014,46.41261,90,90,90,C5,0.129181,0.902345,0.292125
C  H  O,19.59408,27.36014,46.41261,90,90,90,C6,0.161074,0.887575,0.318088
C  H  O,19.59408,27.36014,46.41261,90,90,90,C7,0.539831,0.839980,0.154383
C  H  O,19.59408,27.36014,46.41261,90,90,90,C8,0.005404,0.866285,0.082570
C  H  O,19.59408,27.36014,46.41261,90,90,90,C9,0.068597,0.852875,0.101940
C  H  O,19.59408,27.36014,46.41261,90,90,90,C10,0.096927,0.802360,0.099484
C  H  O,19.59408,27.36014,46.41261,90,90,90,C11,0.163421,0.790938,0.116634
C  H  O,19.59408,27.36014,46.41261,90,90,90,C12,0.388964,0.480757,0.165005
C  H  O,19.59408,27.36014,46.41261,90,90,90,C13,0.332702,0.440154,0.163604
C  H  O,19.59408,27.36014,46.41261,90,90,90,C14,0.167351,0.918134,0.342026
C  H  O,19.59408,27.36014,46.41261,90,90,90,C15,0.276644,0.443878,0.185926
C  H  O,19.59408,27.36014,46.41261,90,90,90,C16,0.943055,0.439551,0.002269
C  H  O,19.59408,27.36014,46.41261,90,90,90,C17,0.908289,0.487785,0.992323
C  H  O,19.59408,27.36014,46.41261,90,90,90,C18,0.961188,0.521915,0.976595
C  H  O,19.59408,27.36014,46.41261,90,90,90,C19,0.922482,0.555387,0.955200
C  H  O,19.59408,27.36014,46.41261,90,90,90,C20,0.863623,0.419350,0.752582
C  H  O,19.59408,27.36014,46.41261,90,90,90,C21,0.919553,0.452233,0.739956
C  H  O,19.59408,27.36014,46.41261,90,90,90,C22,0.991743,0.436579,0.745472
C  H  O,19.59408,27.36014,46.41261,90,90,90,C23,0.043604,0.479203,0.740215
C  H  O,19.59408,27.36014,46.41261,90,90,90,C24,0.171679,0.662057,0.914241
C  H  O,19.59408,27.36014,46.41261,90,90,90,C25,0.248064,0.654791,0.920985
C  H  O,19.59408,27.36014,46.41261,90,90,90,C26,0.297742,0.689699,0.904287
C  H  O,19.59408,27.36014,46.41261,90,90,90,C27,0.372444,0.676322,0.911203
C  H  O,19.59408,27.36014,46.41261,90,90,90,C28,0.217141,0.481159,0.182134
C  H  O,19.59408,27.36014,46.41261,90,90,90,C29,0.414926,0.354054,0.822735
